Date,Price
20170318,2288.7100
20170317,2295.0300
20170316,2284.9000
20170315,2281.2300
20170314,2296.2200
20170311,2278.0900
20170310,2278.4800
20170308,2292.2300
20170307,2309.1200
20170304,2327.2500
20170303,2334.6900
20170302,2338.6900
20170301,2332.9700
20170228,2340.0400
20170223,2286.7800
20170222,2285.6400
20170221,2307.4500
20170218,2300.2900
20170217,2272.4500
20170216,2236.2100
20170215,2282.6500
20170214,2294.9600
20170211,2319.0400
20170210,2356.4000
20170209,2364.1800
20170208,2342.7300
20170207,2306.4100
20170204,2313.2600
20170203,2360.6900
20170202,2346.2000
20170201,2315.8200
20170131,2301.4600
20170128,2296.5400
20170127,2284.5900
20170126,2288.6700
20170125,2309.9600
20170124,2322.0000
20170121,2300.3800
20170120,2296.2500
20170119,2307.1200
20170118,2325.1800
20170117,2304.9500
20170114,2283.5800
20170113,2308.2000
20170112,2297.0000
20170111,2280.6700
20170110,2264.8200
20161231,2260.4300
20161230,2222.2900
20161229,2223.0600
20161228,2212.9700
20161227,2214.7800
20161224,2212.7600
20161223,2212.2900
20161222,2228.7600
20161221,2250.5600
20161220,2260.0600
20161217,2253.0800
20161216,2244.1400
20161215,2269.6800
20161214,2272.3600
20161213,2285.5400
20161210,2378.9800
20161209,2394.1800
20161208,2406.6800
20161207,2405.0700
20161206,2394.1100
20161203,2416.6000
20161202,2392.8800
20161201,2490.5200
20161130,2479.1100
20161129,2481.7400
20161126,2467.0300
20161125,2466.9100
20161124,2496.7800
20161123,2490.7300
20161122,2513.9200
20161119,2524.4700
20161118,2571.2800
20161117,2543.5900
20161116,2590.0700
20161115,2588.7500
20161112,2632.8000
20161111,2611.5900
20161110,2679.8100
20161109,2631.1400
20161108,2643.9500
20161104,2639.9300
20161103,2642.0900
20161102,2609.9100
20161101,2589.7900
20161029,2560.1600
20161028,2572.5900
20161027,2549.9600
20161026,2532.1100
20161025,2535.1400
20161022,2537.7700
20161021,2547.0700
20161020,2554.8900
20161019,2551.0000
20161018,2543.4200
20161015,2544.0600
20161014,2562.0900
20161013,2526.8300
20161012,2512.3000
20161011,2531.5600
20161008,2513.8800
20161007,2538.4500
20161006,2558.2900
20161005,2627.7800
20161004,2651.7400
20161001,2706.5600
20160930,2682.0900
20160929,2723.8800
20160928,2735.4800
20160927,2756.1000
20160924,2742.9800
20160923,2732.8900
20160922,2734.0400
20160921,2738.4000
20160920,2744.6900
20160917,2746.2600
20160916,2767.9500
20160915,2764.1000
20160914,2768.1900
20160913,2776.5100
20160910,2755.2400
20160909,2772.5400
20160908,2791.7500
20160907,2772.2900
20160906,2765.8200
20160903,2777.3900
20160902,2739.4200
20160901,2757.6500
20160831,2752.1900
20160830,2759.3500
20160827,2757.6100
20160826,2765.6300
20160825,2786.6900
20160824,2787.2300
20160823,2754.4300
20160820,2768.7000
20160819,2752.3100
20160818,2762.6600
20160817,2773.8600
20160816,2764.5400
20160813,2764.9100
20160812,2807.6600
20160811,2816.9900
20160810,2776.2700
20160809,2782.8500
20160806,2872.2100
20160805,2884.1900
20160804,2927.7300
20160803,2920.4200
20160802,2860.2500
20160730,2872.5300
20160729,2851.0200
20160728,2800.4100
20160727,2792.6100
20160726,2744.6300
20160723,2749.3500
20160722,2709.0400
20160721,2702.8200
20160720,2697.9000
20160719,2691.0300
20160716,2702.1800
20160715,2709.8100
20160714,2751.4300
20160713,2779.4600
20160712,2803.6400
20160709,2801.2200
20160708,2815.2100
20160707,2846.7400
20160706,2778.5900
20160705,2761.5600
20160702,2740.9800
20160701,2717.3500
20160630,2722.3700
20160629,2733.7800
20160628,2770.6500
20160625,2768.0100
20160624,2617.5400
20160623,2591.3800
20160622,2642.6100
20160621,2646.7000
20160618,2702.5100
20160617,2767.5800
20160616,2716.8600
20160615,2716.0800
20160611,2635.0300
20160610,2578.7300
20160609,2604.3600
20160608,2601.9800
20160607,2623.9800
20160604,2602.8900
20160603,2608.5000
20160602,2604.8900
20160601,2568.4700
20160531,2584.0400
20160528,2593.0500
20160527,2571.5800
20160526,2586.2400
20160525,2678.7600
20160524,2695.3900
20160521,2681.4800
20160520,2668.9000
20160519,2658.5400
20160518,2634.4000
20160517,2672.4800
20160514,2661.9600
20160513,2648.8900
20160512,2708.6200
20160511,2697.2700
20160507,2724.5600
20160506,2702.6400
20160505,2723.8000
20160430,2636.1300
20160429,2630.6200
20160428,2607.7500
20160427,2637.6400
20160426,2636.7100
20160423,2651.4700
20160422,2629.2600
20160421,2649.1200
20160420,2620.7500
20160419,2716.7600
20160416,2611.2500
20160415,2651.6100
20160414,2634.0500
20160413,2685.9500
20160412,2691.7100
20160409,2678.8200
20160408,2697.3700
20160407,2700.3500
20160406,2727.6100
20160405,2682.6700
20160402,2659.6500
20160401,2691.2100
20160331,2691.3900
20160330,2688.9900
20160329,2660.8000
20160326,2686.4700
20160325,2695.9400
20160324,2679.6700
20160323,2727.7500
20160322,2752.5900
20160319,2758.8900
20160318,2798.5100
20160317,2815.8100
20160316,2797.7300
20160315,2834.1600
20160312,2853.2000
20160311,2850.8200
20160310,2927.9300
20160305,2991.7900
20160304,2947.7700
20160303,2910.0100
20160302,2952.2900
20160301,3011.6000
20160227,2971.8900
20160226,3034.2500
20160225,3026.5100
20160221,3053.0900
20160220,2999.0400
20160219,2921.8900
20160218,3009.5400
20160217,2971.0100
20160216,3021.9200
20160213,3167.9400
20160212,3111.4400
20160211,3008.3500
20160210,3007.4800
20160209,2899.6500
20160206,2880.6900
20160205,2817.8000
20160204,2879.5200
20160203,2815.0900
20160202,2753.3300
20160130,2689.7100
20160129,2783.4200
20160128,2835.6900
20160127,2932.9900
20160126,2760.5900
20160123,2843.3800
20160122,2947.6700
20160121,2792.8400
20160120,2742.9200
20160119,2758.0000
20160116,2661.2600
20160115,2683.5400
20160114,2658.2000
20160113,2696.4800
20160112,2697.5300
20160101,2490.7100
20151231,2502.1000
20151230,2487.9100
20151229,2439.4700
20151226,2421.6400
20151225,2395.7000
20151224,2443.6200
20151223,2462.6600
20151222,2453.9100
20151219,2419.7300
20151218,2418.6500
20151217,2412.2700
20151216,2434.6900
20151215,2411.2900
20151212,2373.5000
20151211,2385.5400
20151210,2399.2600
20151209,2388.0000
20151208,2385.0000
20151205,2312.7000
20151204,2289.0700
20151203,2289.3000
20151202,2277.7800
20151201,2265.0500
20151128,2267.3200
20151127,2260.6600
20151126,2257.1900
20151125,2263.7800
20151124,2253.1500
20151121,2263.1100
20151120,2239.5300
